"","time","ipc"
"1","2002-01-01",69.53
"2","2002-02-01",69.59
"3","2002-03-01",70.165
"4","2002-04-01",71.118
"5","2002-05-01",71.374
"6","2002-06-01",71.377
"7","2002-07-01",70.882
"8","2002-08-01",71.085
"9","2002-09-01",71.351
"10","2002-10-01",72.058
"11","2002-11-01",72.169
"12","2002-12-01",72.409
"13","2003-01-01",72.111
"14","2003-02-01",72.264
"15","2003-03-01",72.765
"16","2003-04-01",73.357
"17","2003-05-01",73.289
"18","2003-06-01",73.338
"19","2003-07-01",72.878
"20","2003-08-01",73.213
"21","2003-09-01",73.431
"22","2003-10-01",73.926
"23","2003-11-01",74.167
"24","2003-12-01",74.294
"25","2004-01-01",73.773
"26","2004-02-01",73.807
"27","2004-03-01",74.322
"28","2004-04-01",75.34
"29","2004-05-01",75.784
"30","2004-06-01",75.904
"31","2004-07-01",75.328
"32","2004-08-01",75.661
"33","2004-09-01",75.796
"34","2004-10-01",76.575
"35","2004-11-01",76.767
"36","2004-12-01",76.692
"37","2005-01-01",76.046
"38","2005-02-01",76.243
"39","2005-03-01",76.846
"40","2005-04-01",77.953
"41","2005-05-01",78.102
"42","2005-06-01",78.284
"43","2005-07-01",77.805
"44","2005-08-01",78.147
"45","2005-09-01",78.627
"46","2005-10-01",79.266
"47","2005-11-01",79.386
"48","2005-12-01",79.557
"49","2006-01-01",79.234
"50","2006-02-01",79.272
"51","2006-03-01",79.833
"52","2006-04-01",80.959
"53","2006-05-01",81.251
"54","2006-06-01",81.374
"55","2006-07-01",80.89
"56","2006-08-01",81.055
"57","2006-09-01",80.922
"58","2006-10-01",81.254
"59","2006-11-01",81.455
"60","2006-12-01",81.678
"61","2007-01-01",81.129
"62","2007-02-01",81.184
"63","2007-03-01",81.8
"64","2007-04-01",82.93
"65","2007-05-01",83.158
"66","2007-06-01",83.311
"67","2007-07-01",82.704
"68","2007-08-01",82.818
"69","2007-09-01",83.09
"70","2007-10-01",84.167
"71","2007-11-01",84.77
"72","2007-12-01",85.125
"73","2008-01-01",84.598
"74","2008-02-01",84.73
"75","2008-03-01",85.482
"76","2008-04-01",86.402
"77","2008-05-01",86.985
"78","2008-06-01",87.486
"79","2008-07-01",87.066
"80","2008-08-01",86.879
"81","2008-09-01",86.861
"82","2008-10-01",87.16
"83","2008-11-01",86.79
"84","2008-12-01",86.345
"85","2009-01-01",85.281
"86","2009-02-01",85.29
"87","2009-03-01",85.43
"88","2009-04-01",86.264
"89","2009-05-01",86.234
"90","2009-06-01",86.614
"91","2009-07-01",85.874
"92","2009-08-01",86.174
"93","2009-09-01",85.971
"94","2009-10-01",86.584
"95","2009-11-01",87.053
"96","2009-12-01",87.031
"97","2010-01-01",86.158
"98","2010-02-01",86.001
"99","2010-03-01",86.639
"100","2010-04-01",87.562
"101","2010-05-01",87.756
"102","2010-06-01",87.913
"103","2010-07-01",87.519
"104","2010-08-01",87.74
"105","2010-09-01",87.801
"106","2010-10-01",88.603
"107","2010-11-01",89.084
"108","2010-12-01",89.631
"109","2011-01-01",88.975
"110","2011-02-01",89.088
"111","2011-03-01",89.754
"112","2011-04-01",90.871
"113","2011-05-01",90.841
"114","2011-06-01",90.713
"115","2011-07-01",90.226
"116","2011-08-01",90.338
"117","2011-09-01",90.559
"118","2011-10-01",91.273
"119","2011-11-01",91.643
"120","2011-12-01",91.762
"121","2012-01-01",90.753
"122","2012-02-01",90.847
"123","2012-03-01",91.458
"124","2012-04-01",92.743
"125","2012-05-01",92.606
"126","2012-06-01",92.433
"127","2012-07-01",92.217
"128","2012-08-01",92.736
"129","2012-09-01",93.649
"130","2012-10-01",94.445
"131","2012-11-01",94.328
"132","2012-12-01",94.394
"133","2013-01-01",93.188
"134","2013-02-01",93.349
"135","2013-03-01",93.678
"136","2013-04-01",94.028
"137","2013-05-01",94.201
"138","2013-06-01",94.34
"139","2013-07-01",93.853
"140","2013-08-01",94.145
"141","2013-09-01",93.969
"142","2013-10-01",94.351
"143","2013-11-01",94.547
"144","2013-12-01",94.632
"145","2014-01-01",93.373
"146","2014-02-01",93.333
"147","2014-03-01",93.541
"148","2014-04-01",94.373
"149","2014-05-01",94.395
"150","2014-06-01",94.421
"151","2014-07-01",93.533
"152","2014-08-01",93.681
"153","2014-09-01",93.824
"154","2014-10-01",94.261
"155","2014-11-01",94.195
"156","2014-12-01",93.646
"157","2015-01-01",92.141
"158","2015-02-01",92.331
"159","2015-03-01",92.92
"160","2015-04-01",93.774
"161","2015-05-01",94.222
"162","2015-06-01",94.474
"163","2015-07-01",93.597
"164","2015-08-01",93.286
"165","2015-09-01",92.999
"166","2015-10-01",93.595
"167","2015-11-01",93.937
"168","2015-12-01",93.663
"169","2016-01-01",91.876
"170","2016-02-01",91.552
"171","2016-03-01",92.139
"172","2016-04-01",92.785
"173","2016-05-01",93.292
